Dendrobium moniliforme
Dendrobium moschatum
Dendrobium nobile
Dendrobium transparens
Dendrocalamus hamiltonii
Deparia boryana
Derris elliptica
Descurainia sophia
Desmos chinensis
Deutzia staminea
Dichrocephala benthamii
Dicliptera bupleuroides
Dicliptera paniculata
Dicranostigma lactucoides
Didymocarpus aromaticus
Didymocarpus villosus
Dienia cylindrostachya
Dillenia pentagyna
Dimetia scandens
Dinetus grandiflorus
Dinetus racemosus
Dioscorea alata
Dioscorea belophylla
Dioscorea hamiltonii
Dioscorea hispida
Diospyros exculpta
Diospyros lanceifolia
Diospyros melanoxylon
Diplazium esculentum
Diplazium maximum
Diplazium polypodioides
Diplazium stoliczkae
Diplopterygium giganteum
Discretitheca nepalensis
Disporum cantoniense
Dodecadenia grandiflora
Dolichos tenuicaulis
Dolichousnea longissima
Dolomiaea costus
Dolomiaea macrocephala
Dracocephalum wallichii
Drepanostachyum falcatum
Drimia indica
Drymaria cordata
Drymaria villosa
Drynaria coronans
Drynaria propinqua
Drynaria quercifolia
Dryopteris filix-mas
Duabanga grandiflora
Duhaldea cappa
Duhaldea nervosa
Dysosma versipellis
Edgeworthia gardneri
Ehretia acuminata
Ehretia macrophylla
Elaeagnus latifolia
Elaeagnus umbellata
Elaeocarpus angustifolius
Elatostema integrifolium
Elatostema sessile
Eleocharis acutangula
Elsholtzia densa
Elsholtzia stachyodes
Elsholtzia strobilifera
Emilia sonchifolia
Engelhardia spicata
Ensete nepalense
Entada rheedei
Ephedra pachyclada
Epipactis helleborine
Epipactis royleana
Epipogium aphyllum
Equilabium molle
Equisetum arvense
Equisetum diffusum
Equisetum hyemale
Equisetum ramosissimum
Eragrostis tenella
Erigeron bonariensis
Eriobotrya elliptica
Eriocapitella rivularis
Eriocapitella rupicola
Eriocapitella vitifolia
Eriocaulon cinereum
Eriophyton tuberosum
Eriophyton wallichii
Eritrichium canum
Eryngium foetidum
Erythrina arborescens
Erythrina suberosa
Eskemukerjea megacarpum
Eulaliopsis binata
Eulophia herbacea
Eulophia nuda
Eupatorium chinense
Eupatorium japonicum
Euphorbia fusiformis
Euphorbia heterophylla
Euphorbia prostrata
Euphorbia pseudosikkimensis
Euphorbia stracheyi
Euphorbia wallichii
Euphrasia himalayica
Euploca strigosa
Eurya acuminata
Evolvulus nummularius
Fagopyrum cymosum
Fagopyrum dibotrys
Falconeria insignis
Ficus arnottiana
Ficus auriculata
Ficus benjamina
Ficus glaberrima
Ficus neriifolia
Ficus palmata
Ficus rumphii
Ficus sarmentosa
Fimbristylis aestivalis
Fimbristylis dichotoma
Fimbristylis quinquangularis
Fimbristylis squarrosa
Flemingia procumbens
Flemingia strobilifera
Fomitopsis pinicola
Fragaria nubicola
Fumaria indica
Gagea lasiantha
Gagea serotina
Galearis roborovskii
Galium aparine
Galium asperifolium
Galium elegans
Galium hirtiflorum
Garuga pinnata
Gastrodia elata
Gaultheria hookeri
Gaultheria nummularioides
Gaultheria trichophylla
Gentiana algida
Gentiana capitata
Gentiana depressa
Gentiana elwesii
Gentiana nubigena
Gentiana pedicellata
Gentiana prolata
Gentianella moorcroftiana
Gentianopsis paludosa
Geranium donianum
Geranium ocellatum
Geranium pratense
Geum elatum
Globba clarkei
Globba racemosa
Glochidion heyneanum
Gnetum montanum
Gonostegia hirta
Gonostegia triandra
Grewia hirsuta
Grewia optiva
Grewia sapida
Grewia serrulata
Grona heterocarpa
Grona triflora
Guilandina bonduc
Gymnosporia rufa
Gynura cusimbua
Gynura nepalensis
